report_id,wellbore_id,pdf_name,page_number,row_index,Time,Depth mMD,Depth TVD,Equ Mud Weight (g/cm3),Reading
183,15/9-19 BT2,15_9_19_BT2_1998_01_20.pdf,2,1,00:00,3775,,1.3,estimated
183,15/9-19 BT2,15_9_19_BT2_1998_01_20.pdf,2,2,00:00,4250,,1.09,estimated
184,15/9-19 BT2,15_9_19_BT2_1998_01_21.pdf,2,1,00:00,3775,,1.3,estimated
184,15/9-19 BT2,15_9_19_BT2_1998_01_21.pdf,2,2,00:00,4250,,1.09,estimated
185,15/9-19 BT2,15_9_19_BT2_1998_01_22.pdf,2,1,00:00,3775,,1.3,estimated
185,15/9-19 BT2,15_9_19_BT2_1998_01_22.pdf,2,2,00:00,4250,,1.09,estimated
186,15/9-19 BT2,15_9_19_BT2_1998_01_23.pdf,2,1,00:00,3775,,1.3,estimated
186,15/9-19 BT2,15_9_19_BT2_1998_01_23.pdf,2,2,00:00,4250,,1.09,estimated
222,15/9-19 S,15_9_19_S_1992_11_23.pdf,2,1,00:00,762,,1.04,estimated
223,15/9-19 S,15_9_19_S_1992_11_24.pdf,2,1,00:00,1117,,1.04,estimated
224,15/9-19 S,15_9_19_S_1992_11_25.pdf,2,1,00:00,1450,,1.04,estimated
225,15/9-19 S,15_9_19_S_1992_11_26.pdf,2,1,00:00,1490,,1.04,estimated
226,15/9-19 S,15_9_19_S_1992_11_27.pdf,2,1,00:00,1490,,1.04,estimated
227,15/9-19 S,15_9_19_S_1992_11_28.pdf,2,1,00:00,1490,,1.04,estimated
228,15/9-19 S,15_9_19_S_1992_11_29.pdf,2,1,00:00,1490,,1.04,estimated
229,15/9-19 S,15_9_19_S_1992_11_30.pdf,2,1,00:00,1748,,1.04,estimated
230,15/9-19 S,15_9_19_S_1992_12_01.pdf,1,1,00:00,2018,,1.07,estimated
231,15/9-19 S,15_9_19_S_1992_12_02.pdf,2,1,00:00,2166,,1.07,estimated
232,15/9-19 S,15_9_19_S_1992_12_03.pdf,2,1,00:00,2531,,1.14,estimated
233,15/9-19 S,15_9_19_S_1992_12_04.pdf,2,1,00:00,2632,,1.14,estimated
234,15/9-19 S,15_9_19_S_1992_12_05.pdf,1,1,00:00,2890,,1.2,estimated
234,15/9-19 S,15_9_19_S_1992_12_05.pdf,1,2,00:00,2990,,1.04,estimated
235,15/9-19 S,15_9_19_S_1992_12_06.pdf,2,1,00:00,2890,,1.2,estimated
235,15/9-19 S,15_9_19_S_1992_12_06.pdf,2,2,00:00,3017.5,,1.04,estimated
236,15/9-19 S,15_9_19_S_1992_12_07.pdf,2,1,00:00,3040,,1.04,estimated
238,15/9-19 S,15_9_19_S_1992_12_09.pdf,2,1,00:00,3353,,1.04,estimated
239,15/9-19 S,15_9_19_S_1992_12_10.pdf,2,1,00:00,3353,,1.04,estimated
240,15/9-19 S,15_9_19_S_1992_12_11.pdf,2,1,00:00,3353,,1.04,estimated
241,15/9-19 S,15_9_19_S_1992_12_12.pdf,2,1,00:00,3353,,1.04,estimated
242,15/9-19 S,15_9_19_S_1992_12_13.pdf,2,1,00:00,2510,,1.15,estimated
242,15/9-19 S,15_9_19_S_1992_12_13.pdf,2,2,00:00,2890,,1.2,estimated
243,15/9-19 S,15_9_19_S_1992_12_14.pdf,2,1,00:00,2220,,1.04,estimated
243,15/9-19 S,15_9_19_S_1992_12_14.pdf,2,2,00:00,2890,,1.2,estimated
244,15/9-19 S,15_9_19_S_1992_12_15.pdf,2,1,00:00,1481.7,,1.04,estimated
245,15/9-19 S,15_9_19_S_1992_12_16.pdf,2,1,00:00,1481.7,,1.04,estimated
246,15/9-19 S,15_9_19_S_1992_12_17.pdf,1,1,00:00,1481.7,,1.03,estimated
247,15/9-19 S,15_9_19_S_1992_12_18.pdf,1,1,00:00,1481.7,,1.03,estimated
250,15/9-19 ST2,15_9_19_ST2_1992_12_20.pdf,2,1,00:00,1653,,1.04,estimated
