quality_check_id,table_name,field_name,severity,check_name,message,report_id
1850,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,255.0
1851,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,255.0
1852,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,256.0
1853,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,256.0
1854,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,256.0
1855,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,256.0
1856,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,256.0
1857,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,256.0
1858,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,256.0
1859,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,257.0
1860,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,257.0
1861,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,257.0
1862,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,257.0
1863,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,257.0
1864,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,257.0
1865,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,257.0
1866,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,258.0
1867,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,258.0
1868,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,258.0
1869,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,258.0
1870,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,258.0
1871,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,258.0
1872,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,258.0
1873,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,259.0
1874,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,259.0
1875,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,259.0
1876,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,259.0
1877,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,259.0
1878,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,259.0
1879,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,259.0
1880,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,260.0
1881,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,260.0
1882,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,260.0
1883,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,260.0
1884,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,260.0
1885,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,260.0
1886,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,261.0
1887,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,261.0
1888,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,261.0
1889,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,261.0
1890,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,261.0
1891,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,261.0
1892,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,261.0
1893,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,261.0
1894,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,262.0
1895,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,262.0
