operation_id,start_time,end_time,end_depth_mmd,main_activity,sub_activity,state,remark,activity_label,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
5169,12:00,12:30,2557.0,drilling,pressure detection,ok,"Pulled back from 2577 m to 2557 m inside 14"" casing. Circulated even MW In/Out 1.28 sg.",CIRCULATE,"{""depths"": [""2577 m"", ""2557 m""], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}","[""2577 m"", ""2557 m""]","[""casing""]",[],[],602
5170,12:30,14:00,2557.0,formation evaluation,rft/fit,ok,"Lined up cement unit and pressure tested lines. Performed FIT to 1.65 sg EMW, 91 bar surface pressure.",CEMENT,"{""depths"": [], ""equipment"": [], ""measurements"": [""91 bar""], ""time_refs"": []}",[],[],"[""91 bar""]",[],602
5171,14:00,15:00,2570.0,drilling,survey,ok,"Dropped gyro survey tool. Pumped 2 m3 slug and chased same with 1500 lpm, 30 bar. Landed out gyro tool and recorded survey.",CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [""30 bar"", ""1500 lpm"", ""2 m3""], ""time_refs"": []}",[],[],"[""30 bar"", ""1500 lpm"", ""2 m3""]",[],602
5172,15:00,15:30,2517.0,drilling,trip,ok,POOH to 2517 m while recording gyro survey. Reduced tripping speed due to gyro survey while POOH. Meanwhile: Held TBT for encoder change out.,TRIP_OUT,"{""depths"": [""2517 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2517 m""]",[],[],[],602
5173,15:30,17:00,2517.0,interruption,maintain,ok,Attempted to change out Top drive encoder.,OTHER,"{""depths"": [], ""equipment"": [""top drive""], ""measurements"": [], ""time_refs"": []}",[],"[""top drive""]",[],[],602
5174,17:00,00:00,216.0,drilling,trip,ok,"POOH on 5 1/2"" DP from 2517 m 216 m while recording gyro survey. Reduced tripping speed due to gyro survey while POOH. Flow checked well for 10 min - well static.",TRIP_OUT,"{""depths"": [""2517 m"", ""216 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""2517 m"", ""216 m""]",[],[],[],602
5175,00:00,03:00,0.0,drilling,trip,ok,"L/D and racked back 12 1/4"" Drill Out BHA and 5 1/2"" HWDP.",CUT,"{""depths"": [], ""equipment"": [""hwdp"", ""bha""], ""measurements"": [], ""time_refs"": []}",[],"[""hwdp"", ""bha""]",[],[],603
5176,03:00,03:30,0.0,drilling,trip,ok,Cleaned and cleared rig floor.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],603
5177,03:30,07:00,46.0,drilling,trip,ok,"Held TBT. P/U and M/U 8 1/2"" steerable BHA to 46 m.",CUT,"{""depths"": [""46 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""46 m""]","[""bha""]",[],[],603
5178,07:00,08:00,15.0,drilling,trip,ok,Pulled back and plugged in tools. Observed problem with SoundTrack tool.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],603
